,Country_Region,Confirmed,Deaths,Recovered,Active,cca3,pop2019,area,Density
0,Afghanistan,13659,246,1259,12154,AFG,38041.754,652230.0,58.3257
1,Albania,1099,33,851,215,ALB,2880.917,28748.0,100.2128
2,Algeria,9134,638,5422,3074,DZA,43053.054,2381741.0,18.0763
3,Andorra,764,51,684,29,AND,77.142,468.0,164.8333
4,Angola,81,4,18,59,AGO,31825.295,1246700.0,25.5276
5,Antigua and Barbuda,25,3,19,3,ATG,97.118,442.0,219.724
6,Argentina,15419,520,4788,10111,ARG,44780.677,2780400.0,16.1058
7,Armenia,8676,120,3297,5259,ARM,2957.731,29743.0,99.4429
8,Australia,7184,103,6605,476,AUS,25203.198,7692024.0,3.2765
9,Austria,16655,668,15347,640,AUT,8955.102,83871.0,106.7723
10,Azerbaijan,4989,58,3125,1806,AZE,10047.718,86600.0,116.0245
11,Bahamas,102,11,48,43,BHS,389.482,13943.0,27.9339
12,Bahrain,10449,15,5700,4734,BHR,1641.172,765.0,2145.3229
13,Bangladesh,42844,582,9015,33247,BGD,163046.161,147570.0,1104.8734
14,Barbados,92,7,76,9,BRB,287.025,430.0,667.5
15,Belarus,40764,224,17390,23150,BLR,9452.411,207600.0,45.5318
16,Belgium,58061,9430,15682,32949,BEL,11539.328,30528.0,377.9916
17,Belize,18,2,16,0,BLZ,390.353,22966.0,16.997
18,Benin,224,3,136,85,BEN,11801.151,112622.0,104.7855
19,Bhutan,31,0,6,25,BTN,763.092,38394.0,19.8753
20,Bolivia,8731,300,749,7682,BOL,11513.1,1098581.0,10.48
21,Bosnia and Herzegovina,2485,153,1803,529,BIH,3301.0,51209.0,64.4613
22,Botswana,35,1,20,14,BWA,2303.697,582000.0,3.9582
23,Brazil,465166,27878,189476,247812,BRA,211049.527,8515767.0,24.7834
24,Brunei,141,2,138,1,BRN,433.285,5765.0,75.1578
25,Bulgaria,2485,136,1016,1333,BGR,7000.119,110879.0,63.133
26,Burkina Faso,847,53,720,74,BFA,20321.378,272967.0,74.4463
27,Burma,207,6,130,71,MMR,54045.42,676578.0,79.8805
28,Burundi,42,1,20,21,BDI,11530.58,27834.0,414.2624
29,Cabo Verde,405,4,155,246,CPV,549.935,4033.0,136.3588
30,Cambodia,124,0,122,2,KHM,16486.542,181035.0,91.0683
31,Cameroon,5436,177,3326,1933,CMR,25876.38,475442.0,54.4259
32,Canada,90909,7063,47905,35941,CAN,37411.047,9984670.0,3.7468
33,Central African Republic,874,1,23,850,CAF,4745.185,622984.0,7.6169
34,Chad,759,65,444,250,TCD,15946.876,1284000.0,12.4197
35,Chile,90638,944,38598,51096,CHL,18952.038,756102.0,25.0655
36,China,84123,4638,79382,103,CHN,1433783.686,9706961.0,147.7068
37,Colombia,25406,855,6687,17864,COL,50339.443,1141748.0,44.0898
38,Comoros,87,2,24,61,COM,850.886,1862.0,456.9742
39,Congo (Brazzaville),571,19,161,391,COG,5380.508,342000.0,15.7325
40,Congo (Kinshasa),2833,69,400,2364,COD,86790.567,2344858.0,37.0131
41,Costa Rica,1022,10,653,359,CRI,5047.561,51100.0,98.7781
42,Cote d'Ivoire,2750,32,1370,1348,CIV,25716.544,322463.0,79.7504
43,Croatia,2245,103,2059,83,HRV,4130.304,56594.0,72.9813
44,Cuba,2005,82,1760,163,CUB,11333.483,109884.0,103.1404
45,Cyprus,942,17,784,141,CYP,1198.575,9251.0,129.5617
46,Czechia,9196,319,6500,2377,CZE,10689.209,78865.0,135.5381
47,Denmark,11793,568,10438,787,DNK,5771.876,43094.0,133.9369
48,Djibouti,2914,20,1241,1653,DJI,973.56,23200.0,41.9638
49,Dominica,16,0,16,0,DMA,71.808,751.0,95.6165
50,Dominican Republic,16531,488,9266,6777,DOM,10738.958,48671.0,220.6439
51,Ecuador,38571,3334,19190,16047,ECU,17373.662,276841.0,62.7568
52,Egypt,22082,879,5511,15692,EGY,100388.073,1002450.0,100.1427
53,El Salvador,2278,42,1015,1221,SLV,6453.553,21041.0,306.7132
54,Equatorial Guinea,1306,12,200,1094,GNQ,1355.986,28051.0,48.34
55,Eritrea,39,0,39,0,ERI,3497.117,117600.0,29.7374
56,Estonia,1859,67,1610,182,EST,1325.648,45227.0,29.311
57,Eswatini,279,2,168,109,SWZ,1148.13,17364.0,66.1213
58,Ethiopia,968,8,197,763,ETH,112078.73,1104300.0,101.493
59,Fiji,18,0,15,3,FJI,889.953,18272.0,48.7058
60,Finland,6776,314,5500,962,FIN,5532.156,338424.0,16.3468
61,France,186923,28717,67921,90285,FRA,65129.728,551695.0,118.0539
62,Gabon,2613,15,709,1889,GAB,2172.579,267668.0,8.1167
63,Gambia,25,1,20,4,GMB,2347.706,10689.0,219.6376
64,Georgia,746,12,576,158,GEO,3996.765,69700.0,57.3424
65,Germany,182922,8504,164245,10173,DEU,83517.045,357114.0,233.8666
66,Ghana,7616,34,2421,5161,GHA,30417.856,238533.0,127.5205
67,Greece,2909,175,1374,1360,GRC,10473.455,131990.0,79.3504
68,Grenada,23,0,18,5,GRD,112.003,344.0,325.5901
69,Guatemala,4607,90,648,3869,GTM,17581.472,108889.0,161.4623
70,Guinea,3656,22,2000,1634,GIN,12771.246,245857.0,51.9458
71,Guinea-Bissau,1256,8,42,1206,GNB,1920.922,36125.0,53.1743
72,Guyana,150,11,67,72,GUY,782.766,214969.0,3.6413
73,Haiti,1584,35,22,1527,HTI,11263.077,27750.0,405.8766
74,Holy See,12,0,2,10,VAT,0.799,0.44,1815.9091
75,Honduras,4752,196,519,4037,HND,9746.117,112492.0,86.6383
76,Hungary,3841,517,2024,1300,HUN,9684.679,93028.0,104.105
77,Iceland,1805,10,1794,1,ISL,339.031,103000.0,3.2916
78,India,173491,4980,82627,85884,IND,1366417.754,3287590.0,415.629
79,Indonesia,25216,1520,6492,17204,IDN,270625.568,1904569.0,142.0928
80,Iran,146668,7677,114931,24060,IRN,82913.906,1648195.0,50.3059
81,Iraq,5873,185,3044,2644,IRQ,39309.783,438317.0,89.6835
82,Ireland,24876,1645,22089,1142,IRL,4882.495,70273.0,69.479
83,Israel,16987,284,14776,1927,ISR,8519.377,20770.0,410.177
84,Italy,232248,33229,152844,46175,ITA,60550.075,301336.0,200.9387
85,Jamaica,575,9,289,277,JAM,2948.279,10991.0,268.2448
86,Japan,16673,887,14213,1573,JPN,126860.301,377930.0,335.6714
87,Jordan,730,9,507,214,JOR,10101.694,89342.0,113.0677
88,Kazakhstan,9932,37,5057,4838,KAZ,18551.427,2724900.0,6.8081
89,Kenya,1745,62,438,1245,KEN,52573.973,580367.0,90.5875
90,Kuwait,25184,194,9273,15717,KWT,4207.083,17818.0,236.1142
91,Kyrgyzstan,1662,16,1088,558,KGZ,6415.85,199951.0,32.0871
92,Laos,19,0,16,3,LAO,7169.455,236800.0,30.2764
93,Latvia,1064,24,745,295,LVA,1906.743,64559.0,29.5349
94,Lebanon,1172,26,705,441,LBN,6855.713,10452.0,655.9236
95,Lesotho,2,0,1,1,LSO,2125.268,30355.0,70.0138
96,Liberia,273,27,146,100,LBR,4937.374,111369.0,44.3335
97,Libya,118,5,41,72,LBY,6777.452,1759540.0,3.8518
98,Liechtenstein,82,1,55,26,LIE,38.019,160.0,237.6188
99,Lithuania,1662,68,1216,378,LTU,2759.627,65300.0,42.2608
100,Luxembourg,4012,110,3815,87,LUX,615.729,2586.0,238.1009
101,Madagascar,698,5,164,529,MDG,26969.307,587041.0,45.9411
102,Malawi,273,4,42,227,MWI,18628.747,118484.0,157.2258
103,Malaysia,7732,115,6235,1382,MYS,31949.777,330803.0,96.5825
104,Maldives,1591,5,197,1389,MDV,530.953,300.0,1769.8433
105,Mali,1226,73,669,484,MLI,19658.031,1240192.0,15.8508
106,Malta,616,9,514,93,MLT,440.372,316.0,1393.5823
107,Mauritania,423,20,21,382,MRT,4525.696,1030700.0,4.3909
108,Mauritius,335,10,322,3,MUS,1269.668,2040.0,622.3863
109,Mexico,84627,9415,59003,16209,MEX,127575.529,1964375.0,64.9446
110,Moldova,7896,288,4278,3330,MDA,4043.263,33846.0,119.4606
111,Monaco,98,4,90,4,MCO,38.964,2.02,19289.1089
112,Mongolia,179,0,43,136,MNG,3225.167,1564110.0,2.062
113,Montenegro,324,9,315,0,MNE,627.987,13812.0,45.4668
114,Morocco,7714,202,5271,2241,MAR,36471.769,446550.0,81.6745
115,Mozambique,234,2,84,148,MOZ,30366.036,801590.0,37.8823
116,Namibia,23,0,14,9,NAM,2494.53,825615.0,3.0214
117,Nepal,1212,6,206,1000,NPL,28608.71,147181.0,194.3777
118,Netherlands,46328,5950,178,40200,NLD,17097.13,41850.0,408.5336
119,New Zealand,1504,22,1481,1,NZL,4783.063,270467.0,17.6845
120,Nicaragua,759,35,370,354,NIC,6545.502,130373.0,50.206
121,Niger,955,64,813,78,NER,23310.715,1267000.0,18.3984
122,Nigeria,9302,261,2697,6344,NGA,200963.599,923768.0,217.5477
123,North Macedonia,2129,126,1516,487,MKD,2083.459,25713.0,81.0275
124,Norway,8422,236,7727,459,NOR,5378.857,323802.0,16.6116
125,Oman,9820,40,2396,7384,OMN,4974.986,309500.0,16.0743
126,Pakistan,64028,1317,22305,40406,PAK,216565.318,881912.0,245.5634
127,Panama,12531,326,7540,4665,PAN,4246.439,75417.0,56.3061
128,Papua New Guinea,8,0,8,0,PNG,8776.109,462840.0,18.9614
129,Paraguay,917,11,413,493,PRY,7044.636,406752.0,17.3192
130,Peru,141779,4099,62791,74889,PER,32510.453,1285216.0,25.2957
131,Philippines,16634,942,3720,11972,PHL,108116.615,342353.0,315.8045
132,Poland,23155,1051,10692,11412,POL,37887.768,312679.0,121.1715
133,Portugal,31946,1383,18911,11652,PRT,10226.187,92090.0,111.0456
134,Qatar,52907,36,20604,32267,QAT,2832.067,11586.0,244.4387
135,Romania,18982,1248,12829,4905,ROU,19364.557,238391.0,81.2302
136,Russia,387623,4374,159257,223992,RUS,145872.256,17098242.0,8.5314
137,Rwanda,355,0,247,108,RWA,12626.95,26338.0,479.4195
138,Saint Kitts and Nevis,15,0,15,0,KNA,52.823,261.0,202.387
139,Saint Lucia,18,0,18,0,LCA,182.79,616.0,296.737
140,Saint Vincent and the Grenadines,26,0,14,12,VCT,110.589,389.0,284.2905
141,San Marino,671,42,344,285,SMR,33.86,61.0,555.082
142,Sao Tome and Principe,463,12,68,383,STP,215.056,964.0,223.0871
143,Saudi Arabia,81766,458,57013,24295,SAU,34268.528,2149690.0,15.9411
144,Senegal,3429,41,1738,1650,SEN,16296.364,196722.0,82.8396
145,Serbia,11354,242,6524,4588,SRB,8772.235,88361.0,99.2772
146,Seychelles,11,0,11,0,SYC,97.739,452.0,216.2367
147,Sierra Leone,829,45,386,398,SLE,7813.215,71740.0,108.9102
148,Singapore,33860,23,19631,14206,SGP,5804.337,710.0,8175.1225
149,Slovakia,1520,28,1338,154,SVK,5457.013,49037.0,111.2836
150,Slovenia,1473,108,1357,8,SVN,2078.654,20273.0,102.5331
151,Somalia,1828,72,310,1446,SOM,15442.905,637657.0,24.2182
152,South Africa,29240,611,15093,13536,ZAF,58558.27,1221037.0,47.9578
153,South Sudan,994,10,6,978,SSD,11062.113,619745.0,17.8495
154,Spain,238564,27121,150376,61067,ESP,46736.776,505992.0,92.3666
155,Sri Lanka,1558,10,754,794,LKA,21323.733,65610.0,325.0074
156,Sudan,4521,233,816,3472,SDN,42813.238,1886068.0,22.6997
157,Suriname,12,1,9,2,SUR,581.372,163820.0,3.5488
158,Sweden,36476,4350,4971,27155,SWE,10036.379,450295.0,22.2885
159,Switzerland,30828,1919,28300,609,CHE,8591.365,41284.0,208.104
160,Syria,122,4,43,75,SYR,17070.135,185180.0,92.1813
161,Taiwan*,442,7,420,15,TWN,23773.876,36193.0,656.8639
162,Tajikistan,3686,47,1769,1870,TJK,9321.018,143100.0,65.1364
163,Tanzania,509,21,183,305,TZA,58005.463,945087.0,61.3758
164,Thailand,3076,57,2945,74,THA,69625.582,513120.0,135.6906
165,Timor-Leste,24,0,24,0,TLS,1293.119,14874.0,86.9382
166,Togo,428,13,202,213,TGO,8082.366,56785.0,142.3328
167,Trinidad and Tobago,116,8,108,0,TTO,1394.973,5130.0,271.9246
168,Tunisia,1071,48,946,77,TUN,11694.719,163610.0,71.4792
169,Turkey,162120,4489,125963,31668,TUR,83429.615,783562.0,106.4748
170,US,1746019,102809,406446,1267758,USA,329064.917,9372610.0,35.1092
171,Uganda,329,0,72,257,UGA,44269.594,241550.0,183.273
172,Ukraine,22811,679,8934,13198,UKR,43993.638,603500.0,72.8975
173,United Arab Emirates,33170,260,17097,15813,ARE,9770.529,83600.0,116.8724
174,United Kingdom,272607,38243,1172,233192,GBR,67530.172,242900.0,278.0164
175,Uruguay,816,22,680,114,URY,3461.734,181034.0,19.122
176,Uzbekistan,3468,14,2728,726,UZB,32981.716,447400.0,73.7186
177,Venezuela,1370,14,302,1054,VEN,28515.829,916445.0,31.1157
178,Vietnam,328,0,279,49,VNM,96462.106,331212.0,291.2398
179,West Bank and Gaza,446,3,368,75,PSE,4981.42,6220.0,800.8714
180,Western Sahara,9,1,6,2,ESH,582.463,266000.0,2.1897
181,Yemen,283,65,11,207,YEM,29161.922,527968.0,55.2343
182,Zambia,1057,7,779,271,ZMB,17861.03,752612.0,23.7321
183,Zimbabwe,149,4,28,117,ZWE,14645.468,390757.0,37.4797
